Co_Code,Equity_Paid_Up,Networth,Capital_Employed,Total_Debt,Gross_Block,Net_Working_Capital,Current_Assets,Current_Liabilities_and_Provisions,Total_Assets_by_Liabilities,Gross_Sales,Net_Sales,Other_Income,Value_Of_Output,Cost_of_Production,Selling_Cost,PBIDT,PBDT,PBIT,PBT,PAT,Adjusted_PAT,CP,Revenue_earnings_in_forex,Revenue_expenses_in_forex,Capital_expenses_in_forex,Book_Value_Unit_Curr,Book_Value_Adj_Unit_Curr,Market_Capitalisation,CEPS_annualised_Unit_Curr,Cash_Flow_From_Operating_Activities,Cash_Flow_From_Investing_Activities,Cash_Flow_From_Financing_Activities,ROG-Net_Worth_perc,ROG-Capital_Employed_perc,ROG-Gross_Block_perc,ROG-Gross_Sales_perc,ROG-Net_Sales_perc,ROG-Cost_of_Production_perc,ROG-Total_Assets_perc,ROG-PBIDT_perc,ROG-PBDT_perc,ROG-PBIT_perc,ROG-PBT_perc,ROG-PAT_perc,ROG-CP_perc,ROG-Revenue_earnings_in_forex_perc,ROG-Revenue_expenses_in_forex_perc,ROG-Market_Capitalisation_perc,Current_Ratio_Latest,Fixed_Assets_Ratio_Latest,Inventory_Ratio_Latest,Debtors_Ratio_Latest,Total_Asset_Turnover_Ratio_Latest,Interest_Cover_Ratio_Latest,PBIDTM_perc_Latest,PBITM_perc_Latest,PBDTM_perc_Latest,CPM_perc_Latest,APATM_perc_Latest,Debtors_Velocity_Days,Creditors_Velocity_Days,Inventory_Velocity_Days,Value_of_Output_by_Total_Assets,Value_of_Output_by_Gross_Block,default
3885.0,39.76,1829.0825,3634.915,1572.6100000000001,1409.325,827.735,2014.74,1021.03,4568.7300000000005,2845.3725,2780.14,8.66,2803.74,1981.6799999999998,74.97999999999999,455.5025,290.01750000000004,365.68,219.055,171.6925,153.3,231.39,0.0,304.665,11.3225,73.76,73.76,3984.7225,59.3,229.84,-143.6425,-130.235,30.07,1.39,12.02,8.28,9.52,0.17,-5.99,56.35,117.11,69.34,188.31,112.33,70.08,0.0,-76.4,237.875,0.74,1.33,7.24,6.86,0.98,5.87,22.22,19.15,18.96,14.72,11.65,54.0,67.0,79.0,0.9,1.46,0.0
12476.0,13.0,135.13,250.34,114.5,49.02,827.735,253.96,54.3,304.63,239.13,234.11,1.52,235.16,134.34,74.97999999999999,38.19,16.89,36.37,15.07,11.81,11.98,13.63,1.36,304.665,0.0,103.91,103.91,137.41,10.08,31.06,2.63,-130.235,1.38,-5.7,51.365,0.67,0.53,-3.6,-3.53,-10.37,-14.87,-11.59,-17.96,2.43,4.85,-60.9075,-76.4,85.11,1.53,5.11,2.59,3.44,1.14,1.87,14.93,14.26,7.29,4.94,4.27,147.0,67.0,324.75,0.88,5.87,0.0
5871.0,3.02,3.8,5.07,1.27,0.56,4.39,5.08,0.69,5.76,0.29,0.29,0.03,0.24,0.03,0.0,0.2,0.18,0.19,0.17,0.14,0.15,0.15,0.0,0.0,0.0,12.58,12.58,0.0,0.5,-0.15,0.01,-0.56,3.83,-10.42,-6.67,-73.185,-73.1725,-66.4,-9.29,-60.0,-63.27,-61.22,-64.58,-60.0,-58.33,0.0,0.0,0.0,3.1,0.2,0.04,0.0,0.01,0.0,45.45,66.4725,57.9775,48.2475,40.692499999999995,0.0,0.0,0.0,0.04,0.41,0.0
4406.0,131.24,-60.79,-58.3,2.46,18.66,-84.1,7.69,91.79,33.49,0.76,0.76,0.34,0.79,0.83,0.02,-3.995,-17.872500000000002,-10.834999999999999,-32.7575,-30.575,-29.557499999999997,-15.585,0.01,0.0,0.0,-8.37,-8.37,6.32,-7.475,0.02,0.0,0.0,-55.6275,-33.3825,0.0,-38.21,-38.21,-24.55,-26.4375,-200.0,-313.59749999999997,-250.0,-513.9475,-501.2525,-321.73749999999995,0.0,0.0,-17.17,0.0,0.07,20.5,45.832499999999996,0.0,0.0,-58.682500000000005,-82.2225,-90.795,-87.21249999999999,-117.12,715.25,15.0,69.0,0.02,0.06,1.0
4964.0,3.0,3.74,3.74,0.0,0.89,2.93,3.04,0.11,3.85,1.3,1.3,0.04,0.55,0.24,0.0,0.23,0.23,0.2,0.2,0.13,0.13,0.16,0.0,0.0,0.0,12.45,12.45,0.0,0.53,0.18,0.03,-0.04,3.89,2.75,1.14,22.64,22.64,33.33,-4.23,-30.3,-28.13,-31.03,-28.57,-38.1,-36.0,0.0,0.0,0.0,3.95,1.19,0.4,0.0,0.29,0.0,6.48,3.7,6.48,5.56,2.78,0.0,0.0,324.75,0.08,0.4,0.0
2629.0,22.43,61.25,360.71,23.1,1409.325,45.25,114.06,68.82,429.53,2845.3725,2780.14,78.80250000000001,2803.74,1981.6799999999998,6.75,-3.95,-10.15,-14.62,-32.7575,-30.575,-29.557499999999997,-10.15,0.0,0.29,0.0,5.46,2.73,71.12,-0.91,18.84,-6.44,-12.1,-55.6275,35.42,1.24,10.34,12.01,5.79,-3.01,53.86,35.43,58.57,50.95,50.95,35.43,0.0,122.18,-19.22,1.61,0.75,7.05,45.832499999999996,1.07,1.59,6.63,3.68,4.32,4.32,1.37,12.0,33.0,22.0,0.88,0.73,0.0
45784.0,3.55,3.62,3.62,0.0,0.06,2.01,4.34,2.33,5.95,2.09,2.09,0.14,2.09,2.13,0.01,0.07,0.07,0.03,0.03,0.02,0.02,0.06,0.0,0.0,0.0,2.04,2.04,0.0,0.03,0.19,0.0,0.0,-0.55,-0.55,0.0,-73.185,-73.1725,-66.4,-11.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.69,54.6675,0.0,0.42,0.48,0.0,2.87,1.72,2.87,2.3,1.15,715.25,615.25,0.0,0.27,57.9625,0.0
3231.0,4.42,122.33,127.82,3.51,221.88,38.17,57.29,19.12,146.93,116.52,116.52,1.05,119.32,86.45,0.62,18.46,17.74,7.36,6.64,5.06,5.06,16.16,360.725,3.17,11.3225,55.33,55.33,165.75,7.11,15.31,-7.62,-8.65,1.61,0.21,4.51,-8.43,-8.43,5.16,-1.75,-37.17,-34.39,-63.2,-62.4,-61.78,-28.56,-60.9075,-76.4,35.13,1.6,0.73,9.34,4.28,1.01,8.51,16.01,10.39,14.79,11.48,5.86,85.0,29.0,67.0,0.92,0.76,0.0
4738.0,9.5,12.36,15.42,3.02,1.8,15.09,15.3,0.22,15.64,0.78,0.78,0.0,0.78,0.19,0.02,0.39,0.04,0.37,0.02,0.01,0.01,0.03,0.0,0.0,0.0,1.3,1.3,1.43,0.0,0.23,0.07,-0.22,-0.24,-1.78,-5.76,-12.36,-12.36,-13.64,-2.62,0.0,-33.33,2.78,-33.33,103.23,110.71,0.0,0.0,-44.36,4.21,0.62,0.27,2.41,0.06,1.08,39.62,66.4725,3.77,2.83,1.89,236.0,113.0,0.0,0.06,0.58,0.0
4724.0,12.47,133.29,3634.915,1572.6100000000001,6.77,827.735,2014.74,41.91,4568.7300000000005,190.59,190.59,0.7,190.59,41.72,0.47,455.5025,290.01750000000004,365.68,219.055,171.6925,153.3,23.68,0.0,0.0,0.0,106.87,97.16,252.2,17.97,-21.95,-6.35,52.332499999999996,12.44,20.86,10.44,20.17,20.17,14.87,22.54,18.44,3.4,17.96,1.7,0.36,2.96,0.0,0.0,109.64,1.19,54.6675,0.0,0.0,0.26,1.37,72.23249999999999,66.4725,16.6,10.94,10.59,0.0,0.0,0.0,0.29,57.9625,0.0
